timestamp,cpu,percent,active,available,free,inactive,total,used
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
10-02-2020 (10:38:26.460737),1.98,21.2,2924478464,13090934784,10142162944,2745368576,16619749376,3012825088
